Grad.Year,Student.ID,SEM1FALLGPA,SEM2SPRINGGPA,SEM3FALLGPA,SEM4SPRINGGPA,SEM5FALLGPA,"SEM6SPRINGGPA
PREDICT",Course Percent,ACT,CumulAnatomy,CumulBehavior,CumulEpidem,CumulGenetic,CumulImmun,CumulMicro,CumulNutri,CumulParasit,CumulPath,CumulPharm,CumulPhys,CumulTox,Prob_of_passing_NAVLE.fit,Prob_of_passing_NAVLE.lwr,,Prob_of_passing_NAVLE.upr
2024,@01234567,2.285714286,2.285714286,3.6,2.76,3.6,3.333,NA,83,63.93,88.02,67.04,89.88,58.58,68.22,73.17,87.53,76.18,76.68,58.98,82,455.0961411,369.7470955,,540.4451867
2024,@01234568,2.666666667,2.19047619,2.380952381,3.2,2.94,2.857,NA,89,73.61,72.16,60.39,88.47,68.39,69.03,79.66,71.84,70.97,71.31,67.78,88.16,456.3278511,370.5402608,,542.1154415
2024,@01234569,2.80952381,2.714285714,2.761904762,2.666666667,3.333333333,3,NA,88,72.89,81.33,85.86,76.79,72.62,75.04,80.28,85.25,80.95,77.22,65.58,77.48,443.4376013,359.2262495,,527.6489532
2024,@01234570,3.142857143,3.571428571,2.761904762,3.142857143,3.733333333,4,NA,95,79.37,78.67,81.82,78.57,68.86,80.97,80.28,88.96,81.95,78.86,73.79,71.76,486.3812323,401.7922214,,570.9702432
2024,@01234571,2.666666667,2.333333333,2.761904762,2.285714286,3.529411765,3.143,NA,92,69.94,82.67,74.75,83.93,77.88,69.95,70.42,72.4,79.61,70.07,66.83,71.76,433.1333886,348.0302275,,518.2365498
2024,@01234572,2.714285714,3.095238095,2.761904762,2.761904762,2.933333333,2.857,NA,89,75.26,74.67,81.82,80.36,72.62,74.19,83.1,84.07,80.55,79.96,68.57,77.48,445.3237595,361.0011596,,529.6463594
2024,@01234573,3.952380952,3.619047619,3.619047619,3.619047619,3.733333333,4,NA,94,90.63,80,87.88,73.21,91.42,88.6,87.32,94.21,89.34,81.06,87.22,88.91,515.7687771,431.6112822,PASS,599.9262719
2024,@01234574,2.285714286,2.428571429,2.857142857,2.761904762,3.666666667,3.667,NA,85,71.73,85.33,80.81,87.5,62.09,63.17,70.42,87.42,72.89,73.92,69.31,68.91,399.969662,314.9443286,,484.9949954
2024,@01234575,2.80952381,3.238095238,3.238095238,2.761904762,3.75,3.333,NA,91,77.98,86.67,78.79,78.57,75.63,73.34,85.92,88.69,77.75,76.67,73.54,71.76,447.5968491,362.8607018,,532.3329963
2024,@01234576,2.714285714,2.857142857,2.857142857,2.761904762,3.888888889,3,NA,88,75,76,72.73,76.79,72.62,80.97,87.32,80.27,78.75,72.27,75.53,74.62,483.1759735,398.3898563,,567.9620907
2024,@01234577,3.571428571,3.619047619,3.619047619,3.619047619,4,3,NA,93,83.31,85.33,88.89,96.43,88.41,84.36,92.96,84.34,90.76,89.85,88.47,83.19,537.3525796,452.9058025,PASS,621.7993568
2024,@01234578,2.285714286,2.285714286,2.380952381,2.285714286,3.176,4,NA,85,61.11,76,71.72,78.57,61.34,72.49,84.51,73.67,77.72,71.17,72.55,71.76,440.935886,356.1091461,,525.7626259
2024,@01234579,3.19047619,3.095238095,2.761904762,2.666666667,3.888888889,3,NA,91,74.13,77.33,86.87,76.79,71.11,78.43,87.32,87.33,79.62,78.86,70.81,54.62,446.5114003,361.3265005,,531.6963002
2024,@01234580,3.238095238,3.238095238,3.238095238,3.142857143,3.6,3.5,NA,94,75.21,84,89.9,91.07,85.4,84.36,84.51,87.06,83.37,79.96,80.51,77.48,465.4748959,381.3337176,,549.6160741
2024,@01234581,4,3.904761905,3.904761905,4,3.857142857,4,NA,96,92.25,85.33,91.92,94.64,91.42,89.44,94.37,98.19,94.29,87.11,93.19,94.62,551.2911118,467.054878,PASS,635.5273456
2024,@01234582,3.571428571,3.571428571,3.619047619,3.904761905,3.888888889,3.667,NA,96,91.29,84,92.93,96.43,83.14,83.51,84.51,92.94,86.61,83.81,80.76,83.19,514.2121109,430.1349617,PASS,598.2892601
2024,@01234583,3.952380952,4,3.619047619,3.904761905,3.777777778,4,NA,95,92.51,85.33,97.98,98.21,85.4,84.36,88.73,92.49,89.91,82.16,92.94,83.19,520.2722853,435.8095224,PASS,604.7350482
2024,@01234584,2.714285714,2.333333333,2.285714286,2.285714286,3.066666667,4,NA,91,62.24,77.33,77.78,82.14,73.37,70.8,85.92,75.38,77.98,67.33,69.31,66.05,421.4102049,336.8393424,,505.9810674
2024,@01234585,3.571428571,4,3.619047619,4,3.866666667,4,NA,96,94.27,84,88.89,83.93,84.65,81.82,84.51,90.5,90.22,77.76,86.48,91.76,551.3542756,467.0247446,PASS,635.6838067
2024,@01234586,2.285714286,3.095238095,2.285714286,2.095238095,2,2.857,NA,87,54.11,70.67,69.7,75,69.61,80.12,78.87,77.19,75.16,77.22,73.79,71.76,389.3968955,303.1317987,,475.6619924
2024,@01234587,4,4,4,4,3.888888889,4,NA,97,92.62,94.67,84.85,92.86,90.66,89.44,95.77,94.03,92.03,90.95,93.19,97.48,559.148835,474.6586579,PASS,643.6390121
2024,@01234588,3.476190476,3.857142857,3.523809524,4,4,4,NA,96,91.73,85.33,90.91,92.86,92.17,91.99,81.69,92.85,89.49,84.91,85.48,94.62,540.3052056,455.9367408,PASS,624.6736705
2024,@01234589,3.095238095,3.619047619,3.238095238,3.238095238,3.777777778,3.667,NA,92,83.05,80,81.82,89.29,82.39,75.88,84.51,85.34,80.76,79.41,76.53,71.76,480.8569846,396.4362443,,565.2777249
2024,@01234590,2.761904762,3.571428571,3.619047619,3.238095238,4,3.667,NA,92,82.29,82.67,88.89,94.64,74.12,69.1,81.69,90.5,82.61,81.61,78.02,83.19,477.6263915,392.8577238,,562.3950593
2024,@01234591,3.571428571,3.571428571,3.619047619,3.619047619,3.888888889,4,NA,96,84.96,78.67,89.9,96.43,86.15,79.27,92.96,83.53,85.79,79.96,86.48,83.19,515.7410083,431.3613214,PASS,600.1206952
2024,@01234592,3.095238095,2.142857143,3.142857143,3.523809524,3.733333333,4,NA,90,71.56,80,88.89,80.36,86.15,85.21,77.46,79,88.68,86.01,86.48,77.48,485.4900198,398.9297325,,572.0503071
2024,@01234593,2.761904762,2.714285714,2.761904762,2.666666667,3.555555556,3.333,NA,89,65.25,78.67,78.79,91.07,73.37,78.43,83.1,86.61,81.64,80.51,72.05,71.76,451.8737472,367.5468536,,536.2006407
2024,@01234594,2.333333333,2.714285714,2.380952381,2.380952381,3.444444444,4,NA,89,63.46,66.67,78.79,53.57,73.37,82.66,71.83,83.8,70.47,79.96,66.33,68.91,386.7741255,301.0630144,,472.4852366
2024,@01234595,2.714285714,2.80952381,2.761904762,3.047619048,3.888888889,3.667,NA,89,77.46,74.67,89.9,83.93,71.87,73.34,77.46,82.81,80.24,72.27,74.04,74.62,460.2726346,375.8556904,,544.6895787
2024,@01234596,3.571428571,3.952380952,4,3.904761905,4,4,NA,98,88.89,90.67,96.97,94.64,89.91,82.66,90.14,88.05,91.71,89.3,86.73,88.91,541.6583518,457.3584954,PASS,625.9582082
2024,@01234597,4,4,3.904761905,4,4,4,NA,98,97.28,97.33,100,96.43,96.68,94.53,97.18,99.91,95.86,95.35,97.42,97.48,544.3244079,459.85031,PASS,628.7985057
2024,@01234598,3.571428571,4,3.619047619,3.904761905,3.764705882,3,NA,96,89.04,88,94.95,85.71,88.41,85.21,90.14,95.02,86.16,86.56,90.46,88.91,504.7781029,420.2903642,,589.2658417
2024,@01234599,3.19047619,3.523809524,3.142857143,3.142857143,3.733333333,3.714,NA,92,79.37,77.33,84.85,71.43,74.87,82.66,83.1,88.51,86.44,78.31,78.52,77.48,502.4144175,418.2299538,,586.5988813
2024,@01234600,2.80952381,3.238095238,3.238095238,3.142857143,3.846153846,4,NA,92,81.89,85.33,78.79,78.57,72.62,75.04,73.24,83.08,82.54,76.12,70.06,77.48,494.0871557,409.7877132,,578.3865982
2024,@01234601,3.571428571,3.571428571,3.619047619,3.523809524,4,4,NA,94,83.1,88,89.9,89.29,86.15,80.97,95.77,88.69,89.4,88.75,91.2,88.91,520.1428584,435.4995226,PASS,604.7861942
2024,@01234602,2.714285714,2.761904762,3.238095238,2.666666667,3.333333333,4,NA,86,75.84,80,77.78,69.64,77.88,67.41,77.46,85.97,82.15,74.47,68.32,77.48,445.9466113,361.4768979,,530.4163246
2024,@01234603,3.571428571,3.476190476,3.619047619,3.523809524,4,3.667,NA,96,83.45,84,85.86,87.5,84.65,80.12,84.51,89.86,87.29,82.16,84.24,71.76,503.5135514,419.262411,,587.7646917
2024,@01234604,3.857142857,3.619047619,3.619047619,3.523809524,3.764705882,3.714,NA,95,88.95,85.33,89.9,89.29,89.16,86.05,87.32,88.78,90.1,83.81,90.46,80.34,510.5011187,426.2324936,PASS,594.7697438
2024,@01234605,2.333333333,2.857142857,2.857142857,2.761904762,3.666666667,4,NA,89,67.65,72,85.86,83.93,71.11,77.58,80.28,86.52,82.48,72.27,71.8,74.62,462.4661587,378.2013527,,546.7309647
2024,@01234606,3.095238095,3,3.142857143,3.047619048,3.538461538,4,NA,95,77.93,86.67,89.9,80.36,79.39,77.58,78.87,85.61,81.8,77.22,79.51,68.91,441.0085452,356.7081978,,525.3088926
2024,@01234607,3.142857143,4,3.523809524,3.523809524,3.777777778,3,NA,95,86.78,84,78.79,73.21,80.14,80.97,88.73,91.86,85.7,76.67,86.23,83.19,522.9905187,438.4106321,PASS,607.5704054
2024,@01234608,3.571428571,3.523809524,3.523809524,3.428571429,3.666666667,4,NA,95,89.99,80,74.75,80.36,86.9,82.66,81.69,89.59,82.7,81.06,87.97,91.76,489.8149334,404.9654509,,574.6644158
2024,@01234609,4,4,4,3.904761905,3.888888889,4,NA,97,94.56,96,92.93,89.29,88.41,88.6,97.18,95.11,93.64,88.2,91.2,86.05,551.2362812,467.0289626,PASS,635.4435998
2024,@01234610,2.666666667,3,3.047619048,3.047619048,3.444444444,4,NA,93,77.78,76,78.79,78.57,74.87,80.12,76.06,81,81.79,75.57,71.8,71.76,474.5573338,390.479245,,558.6354226
2024,@01234611,2.666666667,3.047619048,2.761904762,3.047619048,3.666666667,3.667,NA,92,72.54,85.33,87.88,89.29,80.89,71.65,85.92,78.01,83.15,74.47,77.52,71.76,474.2344635,389.879652,,558.5892749
2024,@01234612,2.714285714,3.238095238,3.238095238,3.142857143,3.444444444,4,NA,92,70.72,77.33,83.84,85.71,81.64,80.97,84.51,87.42,81.13,77.22,81.5,74.62,458.4653968,374.319297,,542.6114965
2024,@01234613,3.142857143,3.619047619,3.238095238,3.238095238,3.875,4,NA,95,76.65,80,88.89,92.86,77.88,75.04,88.73,84.16,85.06,82.16,77.77,77.48,500.9186399,416.5055607,,585.3317191
2024,@01234614,3.19047619,2.666666667,3.142857143,2.666666667,3.75,3.333,NA,91,71.07,82.67,88.89,91.07,74.87,79.27,90.14,74.48,85.08,81.06,75.78,74.62,480.1237937,395.1693483,,565.0782391
2024,@01234615,3.571428571,3.619047619,3.619047619,3.523809524,3.529411765,3.714,NA,93,88.54,86.67,88.89,78.57,85.4,79.27,87.32,91.04,86.77,79.41,80.76,83.19,500.3007311,416.3183794,,584.2830827
2024,@01234616,3.904761905,3.523809524,3.619047619,3.523809524,3.764705882,3.714,NA,96,88.69,81.33,84.85,92.86,89.16,84.36,81.69,91.58,90.46,87.65,84.24,91.76,514.8868304,430.6458939,PASS,599.127767
2024,@01234617,3.571428571,3.476190476,3.619047619,3.619047619,3.733333333,3.667,NA,97,87.59,85.33,91.92,94.64,79.39,85.21,95.77,91.58,83.37,85.46,84.49,88.91,497.270874,412.629263,,581.912485
2024,@01234618,2.714285714,2.761904762,2.476190476,2.761904762,3.444444444,4,NA,90,65.95,80,85.86,89.29,63.6,79.27,83.1,76.74,80.12,76.67,72.05,66.05,459.6981558,375.091889,,544.3044227
2024,@01234619,2.333333333,2.761904762,2.761904762,2.761904762,3.733333333,4,NA,91,66.52,80,88.89,78.57,70.36,75.04,77.46,78.64,77.03,79.96,70.06,80.34,439.0207534,354.5168114,,523.5246955
2024,@01234620,3.619047619,4,3.619047619,3.619047619,3.888888889,4,NA,92,87.36,74.67,83.84,85.71,83.14,88.6,87.32,95.48,88.57,83.81,85.98,80.34,529.2606328,444.9311596,PASS,613.5901061
2024,@01234621,2.714285714,3.238095238,2.857142857,2.857142857,3.777777778,4,NA,93,72.86,76,88.89,75,72.62,74.19,78.87,79.82,80.89,71.17,71.05,71.76,468.5573284,384.0537164,,553.0609404
2024,@01234622,3.095238095,3.238095238,3.142857143,2.761904762,3.75,3,NA,90,68.29,86.67,85.86,87.5,83.9,85.21,85.92,80.36,84.59,78.86,77.27,86.05,488.5443116,403.9969684,,573.0916548
2024,@01234623,2.714285714,2.761904762,2.666666667,2.666666667,3.846153846,3.714,NA,91,70.69,72,71.72,76.79,69.61,74.19,84.51,86.7,74.2,73.37,70.31,74.62,443.8802472,358.7954471,,528.9650473
2024,@01234624,3.619047619,3.619047619,3.619047619,3.619047619,3.882352941,4,NA,95,88.89,86.67,92.93,83.93,89.16,83.51,88.73,91.95,90.77,83.26,81.75,86.05,524.7264252,440.6530075,PASS,608.7998428
2024,@01234625,3.952380952,3.571428571,4,3.904761905,3.888888889,3,NA,98,95.37,89.33,89.9,83.93,84.65,84.36,85.92,94.12,87.95,81.61,90.21,86.05,514.973592,430.6741795,PASS,599.2730045
2024,@01234626,3.857142857,3.476190476,3.619047619,3.142857143,4,4,NA,94,86,78.67,85.86,92.86,83.14,79.27,87.32,93.3,87.5,83.81,87.72,71.76,482.3029673,397.5205336,,567.085401
2024,@01234627,4,3.952380952,4,3.904761905,3.866666667,4,NA,98,92.97,85.33,95.96,98.21,92.92,89.44,91.55,94.12,91.63,85.46,95.18,88.91,528.0766979,443.7327703,PASS,612.4206256
2024,@01234628,4,4,4,4,4,4,NA,98,95.32,80,89.9,96.43,87.66,89.44,91.55,95.66,89.93,87.11,94.44,100.34,543.7589557,459.1387672,PASS,628.3791441
2024,@01234629,3.952380952,3.904761905,3.619047619,3.619047619,4,3,NA,98,89.5,86.67,93.94,91.07,86.9,87.75,90.14,92.31,86.1,86.56,82.5,88.91,513.594266,429.1773206,PASS,598.0112115
2024,@01234630,3.619047619,3.619047619,3.238095238,3.238095238,3.882352941,3.429,NA,93,81.86,73.33,89.9,73.21,82.39,80.97,83.1,90.14,83.58,81.61,83.99,80.34,475.7752856,391.3829718,,560.1675993
2024,@01234631,2.80952381,3.19047619,3.142857143,3.047619048,3.888888889,3,NA,92,72.6,82.67,86.87,80.36,82.39,89.44,84.51,83.71,85.76,75.57,82.5,77.48,496.899864,412.3363605,,581.4633675
2024,@01234632,3.476190476,4,3.619047619,3.523809524,4,4,NA,96,89.3,80,78.79,91.07,87.66,82.66,90.14,92.76,87.41,77.76,88.96,91.76,533.0843493,448.2348638,PASS,617.9338349
2024,@01234633,2.80952381,2.714285714,2.666666667,3.047619048,3.2,3.143,NA,87,78.91,82.67,79.8,75,70.36,67.41,78.87,83.89,78.47,71.72,77.27,74.62,437.9804411,353.6510351,,522.3098471
2024,@01234634,3.095238095,3.095238095,3.523809524,3.523809524,3.846153846,4,NA,94,76.13,86.67,84.85,80.36,80.89,83.51,85.92,90.05,89.23,88.75,82,83.19,513.4518757,429.1929582,PASS,597.7107932
2024,@01234635,3.19047619,3.238095238,2.857142857,2.761904762,3.866666667,4,NA,93,75.06,80,86.87,85.71,77.88,78.43,84.51,86.24,81.65,73.37,70.81,71.76,467.7063378,383.1686016,,552.2440739
2024,@01234636,3.19047619,3.619047619,3.238095238,3.142857143,3.555555556,4,NA,93,82.03,78.67,87.88,87.5,83.14,73.34,84.51,87.33,84.73,77.76,75.28,88.91,486.3887516,401.8815839,,570.8959192
2024,@01234637,3.476190476,3.571428571,3.619047619,3.238095238,3.764705882,4,NA,97,80.53,80,93.94,92.86,82.39,82.66,91.55,91.04,87,86.01,82.75,80.34,487.105228,402.8148441,,571.3956118
2024,@01234638,2.80952381,2.857142857,3.238095238,2.761904762,3.571428571,4,NA,93,69.53,78.67,87.88,85.71,80.14,78.43,73.24,86.06,78.57,81.61,73.04,74.62,416.4350165,331.8680448,,501.0019882
2024,@01234639,3.095238095,3.238095238,2.857142857,2.857142857,3.529411765,3.429,NA,93,76.36,85.33,75.76,82.14,70.36,72.49,83.1,84.25,82.94,73.37,73.04,71.76,482.1325268,397.7648792,,566.5001745
2024,@01234640,3.904761905,4,4,4,4,4,NA,98,98.73,85.33,91.92,91.07,88.41,86.05,92.96,95.93,91.34,87.65,93.44,97.48,544.5440934,460.1076337,PASS,628.9805532
2024,@01234641,2.333333333,3.238095238,2.857142857,3.238095238,3.75,3,NA,91,70.29,72,80.81,76.79,80.14,75.88,81.69,88.33,80.2,77.76,74.54,60.34,463.6751269,379.1946846,,548.1555692
2024,@01234642,3.857142857,4,3.619047619,3.523809524,3.777777778,4,NA,97,89.24,77.33,88.89,92.86,90.66,85.21,87.32,94.66,88.8,79.41,88.96,83.19,508.3546045,423.9315945,,592.7776145
2024,@01234643,3.142857143,3.238095238,3.238095238,3.238095238,3.692307692,3.714,NA,91,77.23,74.67,83.84,96.43,81.64,83.51,87.32,80.72,86.57,76.67,79.76,88.91,519.7746296,435.5020892,PASS,604.0471701
2024,@01234644,3.19047619,3.571428571,3.238095238,3.142857143,3.333333333,4,NA,94,80.07,92,84.85,76.79,85.4,80.12,87.32,81.18,84.53,75.02,75.28,68.91,489.763711,405.3537763,,574.1736456
2024,@01234645,2.428571429,2.714285714,2.476190476,2.380952381,3.647058824,3,NA,84,64.99,86.67,85.86,82.14,71.87,75.88,84.51,75.93,72.29,72.27,67.57,77.48,423.2654588,338.3407524,,508.1901652
2024,@01234646,3.952380952,4,4,3.904761905,4,4,NA,98,98.09,89.33,93.94,94.64,90.66,91.14,97.18,97.74,94.05,86.56,91.2,88.91,553.6158041,469.3948312,PASS,637.836777
2024,@01234647,2.714285714,2.761904762,3.238095238,2.857142857,3.733333333,4,NA,88,76.25,68,81.82,89.29,76.38,78.43,84.51,82.35,80.79,70.62,72.3,77.48,474.1365911,389.8891353,,558.384047
2024,@01234648,3.095238095,4,3.619047619,4,4,4,NA,94,89.82,84,95.96,83.93,83.14,81.82,81.69,91.04,85.5,83.26,86.23,86.05,515.8894194,431.3466295,PASS,600.4322094
2024,@01234649,2.666666667,2.666666667,2.761904762,2.761904762,3.538461538,3,NA,92,72.17,84,83.84,78.57,77.88,66.56,83.1,83.98,76.82,74.47,69.06,57.48,415.3928963,330.8066943,,499.9790983
2024,@01234650,3.047619048,3.047619048,2.761904762,2.666666667,3.058823529,3.5,NA,90,73.99,76,84.85,89.29,77.13,76.73,94.37,78.46,81.24,73.37,76.53,68.91,453.0376896,368.5217331,,537.553646
2024,@01234651,3.952380952,4,4,3.523809524,3.866666667,4,NA,96,89.33,89.33,96.97,89.29,81.64,80.97,85.92,93.57,92.26,90.4,86.48,86.05,516.1576946,431.5053431,PASS,600.8100461
2024,@01234652,2.666666667,3.095238095,2.761904762,2.666666667,3.555555556,3,NA,84,72.43,76,81.82,83.93,81.64,78.43,85.92,86.24,80.89,76.67,77.27,74.62,450.4036364,366.0775291,,534.7297437
2024,@01234653,3.571428571,3.523809524,3.142857143,2.666666667,3.882352941,3.429,NA,93,80.01,86.67,86.87,85.71,78.63,78.43,83.1,82.44,85.07,77.76,76.78,71.76,479.1047802,394.2424326,,563.9671278
2024,@01234654,3.19047619,3.619047619,3.238095238,3.142857143,3.733333333,3.714,NA,95,78.27,82.67,96.97,94.64,80.14,82.66,84.51,90.95,84.81,80.51,80.26,74.62,468.5219614,384.0507069,,552.9932159
2024,@01234655,3.571428571,4,3.619047619,3.619047619,3.647058824,3.714,NA,95,94.88,80,90.91,85.71,83.14,86.05,87.32,94.21,85.66,82.16,87.47,88.91,502.2503566,417.8058653,,586.6948478
2024,@01234656,3.571428571,3.619047619,3.523809524,3.238095238,4,3,NA,97,82.76,88,89.9,87.5,85.4,80.97,85.92,88.78,86.36,82.16,84.49,71.76,487.1447663,402.6688619,,571.6206707
2024,@01234657,3.523809524,4,3.619047619,3.619047619,3.75,3.667,NA,95,83.68,82.67,92.93,92.86,85.4,84.36,90.14,87.15,89.2,86.01,88.22,91.76,527.0300828,442.6459913,PASS,611.4141743
2024,@01234658,3.19047619,3.619047619,3.238095238,3.142857143,4,3.667,NA,93,85.1,74.67,90.91,85.71,79.39,80.12,85.92,77.29,81.18,76.67,86.23,80.34,487.4574798,402.2033504,,572.7116092
2024,@01234659,3,3.19047619,2.761904762,2.761904762,3.777777778,3.5,NA,88,73.7,86.67,87.88,82.14,72.62,81.82,88.73,86.61,84.59,75.02,72.55,77.48,489.4141888,404.9564262,,573.8719514
2024,@01234660,2.80952381,3.142857143,2.380952381,2.666666667,3.666666667,3.5,NA,90,66.84,82.67,79.8,85.71,67.36,72.49,80.28,79.64,77.21,77.76,74.79,71.76,446.9241412,362.2488331,,531.5994493
2024,@01234661,2.714285714,3.095238095,2.761904762,3.142857143,3.777777778,3.667,NA,95,75.09,77.33,87.88,82.14,76.38,75.04,83.1,73.3,81.39,76.12,82,83.19,482.5506427,397.6590939,,567.4421916
2024,@01234662,3.571428571,3.619047619,3.619047619,4,4,4,NA,94,86.52,77.33,93.94,92.86,85.4,91.14,90.14,95.02,86.28,87.11,87.97,80.34,515.9704836,431.4688852,PASS,600.472082
2024,@01234663,3.619047619,3.619047619,3.619047619,3.047619048,3.555555556,4,NA,98,78.91,80,88.89,94.64,83.9,86.05,87.32,85.61,90.32,82.16,84.74,86.05,504.4766998,419.855761,,589.0976386
2024,@01234664,3.619047619,4,3.619047619,4,4,3.667,NA,99,87.62,78.67,94.95,87.5,83.9,81.82,85.92,94.66,88.1,93.15,83.99,97.48,526.1400897,441.4950029,PASS,610.7851765
2024,@01234665,3.142857143,3.952380952,3.238095238,3.619047619,3.666666667,3.667,NA,95,77.98,76,93.94,85.71,83.14,78.43,83.1,91.86,86.64,80.51,79.01,74.62,498.5560435,414.2496524,,582.8624347
2024,@01234666,3.571428571,3.571428571,3.238095238,3.047619048,3.764705882,4,NA,95,78.71,90.67,83.84,83.93,80.14,80.97,85.92,92.94,86.31,75.02,78.27,86.05,497.4649903,412.9702205,,581.9597602
2024,@01234667,2.714285714,3.476190476,3.238095238,3.142857143,3.466666667,4,NA,94,73.12,86.67,87.88,92.86,78.63,78.43,95.77,87.24,84.85,81.61,79.26,86.05,491.8331391,407.4127273,,576.2535509
2024,@01234668,3.571428571,3.238095238,3.619047619,3.238095238,3.6,3.714,NA,95,84.32,80,90.91,89.29,75.63,75.88,84.51,88.24,87.48,80.51,76.28,71.76,486.1806426,401.9291361,,570.4321492
2024,@01234669,3.571428571,4,3.619047619,3.523809524,3.384615385,3.429,NA,94,88.46,84,93.94,92.86,82.39,79.27,90.14,86.97,91.38,82.16,87.22,77.48,516.8761716,432.2534266,PASS,601.4989165
2024,@01234670,3.095238095,2.714285714,3.142857143,3.238095238,3.764705882,3.556,NA,89,78.45,84,81.82,82.14,75.63,80.97,78.87,88.14,82.6,78.31,74.79,80.34,479.187661,394.9271135,,563.4482084
2024,@01234671,3.095238095,3.19047619,3.238095238,3.523809524,4,4,NA,92,73.96,89.33,92.93,91.07,80.89,80.12,94.37,89.32,87.6,79.96,80.76,80.34,516.1102614,431.7960527,PASS,600.4244701
2024,@01234672,3.095238095,3.523809524,3.238095238,3.142857143,3.666666667,4,NA,95,80.79,77.33,86.87,87.5,74.87,79.27,85.92,81.54,85.92,80.51,78.77,80.34,504.1565365,419.8118483,,588.5012247
2024,@01234673,3.380952381,3.428571429,3.619047619,3.142857143,3.466666667,4,NA,95,82.01,76,87.88,87.5,83.9,80.12,85.92,85.61,85.53,88.75,87.22,97.48,474.9417024,390.081111,,559.8022938
